                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.97084,                 1.1953,                 1.1333,                0.83085,                0.44444,                0.50325,                0.40678,                  1.098,                 4.9481,                 1.2772,              0.0010092,              0.0010092,              0.0010092
                     47,                  1.032,                 1.0641,                 1.1112,                0.83085,                0.44444,                0.50325,                0.40678,                  1.098,                 4.9481,                 1.2772,               0.001013,               0.001013,               0.001013
                     48,                 1.1271,                 1.1665,                 1.1457,                0.47918,                0.44444,                 0.4529,                0.32526,                 1.2762,                 6.1967,                 1.4565,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.0432,                 1.0766,                 1.1306,                0.47918,                0.44444,                 0.4529,                0.32526,                 1.2762,                 6.1967,                 1.4565,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.0972,                 1.2679,                 1.1813,                0.43592,                0.33333,                0.39003,                0.25864,                 1.4571,                 7.0915,                 1.5944,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.0721,                 1.1811,                 1.1608,                0.43592,                0.33333,                0.39003,                0.25864,                 1.4571,                 7.0915,                 1.5944,                0.00101,                0.00101,                0.00101
                     52,                  1.105,                 1.2298,                 1.2199,                0.51624,                0.33333,                0.45376,                 0.2807,                 1.2357,                 6.3567,                  1.353,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0341,                 1.1622,                 1.1248,                0.51624,                0.33333,                0.45376,                 0.2807,                 1.2357,                 6.3567,                  1.353,              0.0009704,              0.0009704,              0.0009704
                     54,                0.92442,                 1.0354,                 1.0472,                0.90572,                0.44444,                0.51888,                0.28435,                 1.1392,                  5.436,                 1.3021,              0.0009506,              0.0009506,              0.0009506
                     55,                0.93245,                 1.0851,                 1.0805,                0.90572,                0.44444,                0.51888,                0.28435,                 1.1392,                  5.436,                 1.3021,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0128,                 1.0866,                 1.1904,                0.95029,                0.44444,                0.51959,                0.31407,                 1.2336,                 4.6403,                 1.3648,               0.000911,               0.000911,               0.000911
                     57,                 1.0747,                 1.1327,                 1.0627,                0.95029,                0.44444,                0.51959,                0.31407,                 1.2336,                 4.6403,                 1.3648,              0.0008912,              0.0008912,              0.0008912
                     58,                0.99892,                 1.1108,                 1.0798,                      1,                0.44014,                 0.5381,                0.30844,                 1.4128,                 3.6522,                 1.4794,              0.0008714,              0.0008714,              0.0008714
                     59,                0.89911,                 1.2485,                 1.0552,                      1,                0.44014,                 0.5381,                0.30844,                 1.4128,                 3.6522,                 1.4794,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.9666,                 1.1482,                 1.0732,                0.94291,                0.44444,                0.56488,                0.33697,                 1.5358,                 2.9287,                 1.5625,              0.0008318,              0.0008318,              0.0008318
                     61,                0.96468,                 1.0687,                 1.0756,                0.94291,                0.44444,                0.56488,                0.33697,                 1.5358,                 2.9287,                 1.5625,               0.000812,               0.000812,               0.000812
                     62,                0.91853,                 1.1582,                 1.1208,                      1,                 0.7483,                0.81643,                0.44686,                  1.572,                 2.3142,                 1.5324,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0058,                 1.2286,                 1.0892,                      1,                 0.7483,                0.81643,                0.44686,                  1.572,                 2.3142,                 1.5324,              0.0007724,              0.0007724,              0.0007724
                     64,                0.92778,                   1.09,                 1.0574,                0.98431,                0.77778,                0.83635,                 0.4713,                 1.5458,                 1.9363,                 1.4927,              0.0007526,              0.0007526,              0.0007526
                     65,                0.80431,                0.90442,                0.97807,                0.98431,                0.77778,                0.83635,                 0.4713,                 1.5458,                 1.9363,                 1.4927,              0.0007328,              0.0007328,              0.0007328
                     66,                0.87249,                 1.0186,                 1.0463,                0.87174,                0.75747,                0.86546,                0.45641,                 1.4374,                 1.8361,                 1.4179,               0.000713,               0.000713,               0.000713
                     67,                0.89442,                 1.0089,                 1.0377,                0.87174,                0.75747,                0.86546,                0.45641,                 1.4374,                 1.8361,                 1.4179,              0.0006932,              0.0006932,              0.0006932
                     68,                0.88211,                 1.0415,                 1.0348,                0.95451,                0.66667,                 0.8589,                0.54692,                 1.2823,                 1.7481,                 1.2679,              0.0006734,              0.0006734,              0.0006734
                     69,                0.99972,                 1.0665,                 1.0907,                0.95451,                0.66667,                 0.8589,                0.54692,                 1.2823,                 1.7481,                 1.2679,              0.0006536,              0.0006536,              0.0006536
                     70,                0.89241,                 1.0004,                 1.0446,                0.92891,                0.66667,                0.83719,                0.56668,                 1.1957,                 1.7871,                 1.2619,              0.0006338,              0.0006338,              0.0006338
                     71,                0.77676,                0.83584,                0.97111,                0.92891,                0.66667,                0.83719,                0.56668,                 1.1957,                 1.7871,                 1.2619,               0.000614,               0.000614,               0.000614
                     72,                0.86295,                0.96477,                 1.0336,                0.65803,                 0.8572,                0.74887,                 0.4921,                 1.2625,                 1.7865,                 1.2403,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.9365,                0.99026,                 1.0483,                0.65803,                 0.8572,                0.74887,                 0.4921,                 1.2625,                 1.7865,                 1.2403,              0.0005744,              0.0005744,              0.0005744
